Channel Name	Subscribers	Creation Date	Location
MIKAN	1960000	2020/04/13	Japan
carykh	636000	2011/07/16	USA
Z Arcade	227000	2021/11/23	South Korea
Crazy Marble Race	204000	2018/08/13	Thailand
Marble Race King	154000	2019/06/08	USA
Bluza	133000	2013/03/26	Ukraine
Max Marble	136000	2019/09/04	UK
Marks Marble Racing	136000	2018/07/06	UK
The Black Cat-Gear	119000	2019/03/25	Italy
Marks Marble Football	103000	2019/01/08	UK
Marble Factory	111000	2021/10/01	Japan
Carson Jay Marbles	104000	2017/08/26	USA
John Dubuc	95900	2013/04/22	USA
Lost Marbles	103000	2021/11/20	South Africa
Jack Spero	88300	2012/11/01	Canada
Epic Marble Race	78000	2015/04/19	USA
Algodoo sTICKMAN	75100	2016/09/29	Singapore
Marble Race Project	65900	2017/01/30	Russia
Bouncy Marble	58000	2017/09/09	Colombia
AlgoMarbler	76200	2016/12/15	USA
Lunar Marble Race	58300	2006/04/21	Thailand
Algorox	53300	2011/03/11	Canada
Mabille Racing	58600	2019/08/28	France
The TEA	51600	2019/09/05	Turkey
PaiNite	53300	2021/10/07	USA
Iana1248	45500	2019/07/25	India
RAIDEN	46500	2016/06/13	Japan
RapterSonic	35900	2017/11/05	Ecuador
THC GAME MOBILE	34500	2017/11/28	USA
Weron	30400	2022/01/08	Poland
Erikfassett	29700	2010/04/17	USA
LucidSigma	27200	2008/07/02	Australia
Smart Marble	26400	2020/03/02	USA
Minecraft Iron Axe	25200	2015/02/22	USA
Rainbow Gear	25100	2021/03/21	Austria
Kansy Marble Race	23900	2018/08/21	Vietnam
LineHotBall	23200	2013/07/30	Brazil
Cez189	22300	2014/01/17	Romania
Marble Master	18700	2014/04/01	Saudi Arabia
Brad's Marble Races	17800	2019/06/09	Canada
Marble Race In Algodoo	17000	2017/06/08	UK
3tothe7thpower	16800	2014/11/07	USA
marble marble	16000	2016/09/15	USA
Algolab	14900	2019/10/09	USA
seth2rock	14800	2019/04/13	Philippines
Yapinians	14400	2017/11/17	Afghanistan
Just Marble	14400	2019/04/11	Hong Kong
sc9849	14000	2011/01/03	UK
Marble Race	13400	2014/07/08	Italy
Marble Game	13100	2020/09/09	Taiwan
Brilliance	12500	2020/03/27	USA
Marble Factory 2nd	12400	2023/01/01	Japan
Doc671	12100	2015/08/24	UK
Kenlimepie	11200	2016/05/22	USA
Andrew Stabell	10900	2021/06/07	USA
NMR	10400	2021/09/08	N/A
CodeRed	9420	2012/05/21	USA
Box	9350	2020/04/27	Vietnam
Qualiti	9070	2021/07/16	Indonesia
Algodoo Marblez	8750	2016/01/16	Vietnam
Joe 7	8200	2015/04/13	UK
NotScotish	8150	2020/01/14	USA
Cookie racer	6770	2020/04/11	Taiwan
HexBlue	6680	2014/12/25	UK
AlgoJared	6460	2020/06/19	USA
caz37	6180	2021/07/23	Japan
Zxcvbnm Productions	6080	2018/12/29	Singapore
PenSteel	5910	2016/05/10	Turkey
Crazy RAIDEN	5530	2022/01/17	Japan
Star Mapping / Racing	5480	2020/02/29	USA
Luka	5470	2011/11/28	Serbia
Feramersi 0	5470	2016/05/15	UK
